Vehicle_Ramp_ID,Time,LaneID,Lateral,Longitudinal,Speed,Speed_kph,Acceleration,VehicleLength,Width,Gap,Headway,SpeedInit,AccelerationMerge,LC
2,9.600000000000001,5,0.0,51.199999999999946,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,9.600000000000001,5,0.0,28.000000000000014,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
4,9.600000000000001,5,0.0,4.8,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,9.700000000000001,5,0.0,75.19999999999986,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,9.700000000000001,5,0.0,51.99999999999994,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,9.700000000000001,5,0.0,28.800000000000015,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
4,9.700000000000001,5,0.0,5.6,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,9.8,5,0.0,75.99999999999986,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,9.8,5,0.0,52.79999999999994,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,9.8,5,0.0,29.600000000000016,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
4,9.8,5,0.0,6.3999999999999995,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,9.9,5,0.0,76.79999999999986,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,9.9,5,0.0,53.59999999999994,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,9.9,5,0.0,30.400000000000016,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
4,9.9,5,0.0,7.199999999999999,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,10.0,5,0.0,77.59999999999985,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,10.0,5,0.0,54.399999999999935,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,10.0,5,0.0,31.200000000000017,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
4,10.0,5,0.0,7.999999999999999,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,10.100000000000001,5,0.0,78.39999999999985,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,10.100000000000001,5,0.0,55.19999999999993,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,10.100000000000001,5,0.0,32.000000000000014,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
4,10.100000000000001,5,0.0,8.799999999999999,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,10.200000000000001,5,0.0,79.19999999999985,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,10.200000000000001,5,0.0,55.99999999999993,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
